id,count,latitude,longitude
283,3,39.1679,-78.1672
284,1,29.7633,-95.3633
285,1,-35.276,149.1344
286,1,29.7633,-95.3633
287,1,49.8119,18.2553
288,1,38,-97
289,2,40.7619,-73.9763
290,1,26.1788,-98.3595
291,1,30.5801,114.2734
292,11,51,9
293,1,38.9499,-94.7453
294,1,47.3948,0.704
295,1,37.3874,-121.9024
296,1,39.7294,-104.8319
297,1,44.8186,20.4681
298,1,51,9
299,1,30.3549,-91.0768
300,1,35,105
301,1,33.1212,-97.1834
302,1,35.3733,-119.0187
303,1,41.3991,-81.6074
304,1,38.9499,-94.7453
305,1,27.7479,-99.5957
306,1,32.5305,-97.3076
307,1,32.9193,-96.982
308,2,32.7492,-97.2205
309,1,29.7633,-95.3633
310,1,51.8182,3.9777
311,1,34.0523,-118.3852
312,1,40.004,-74.2258
313,1,32.7406,-97.3802
314,1,38,-97
315,1,29.5628,106.5528
316,1,45.0799,-93.0884
317,1,33.6357,-96.6089
318,1,42.7305,-71.4958
319,1,38,-97
320,1,53.5833,-0.65
321,1,28.5225,-81.4835
322,1,30.4549,-97.7565
323,1,32.7254,-97.3208
324,1,29.7449,-95.7311
325,1,55.7522,37.6156
326,1,33.5129,-96.3925
327,1,32.6615,-97.1694
328,1,31.1171,-97.7278
329,1,34.0194,-118.4912
330,2,32.7254,-97.3208
331,1,24.6537,46.7152
332,1,36.6683,116.9972
333,1,33.4484,-112.074
334,1,32.7244,-96.565
335,1,52.4167,-1.55
336,2,25.3573,55.4033
337,1,24.9056,67.0822
338,1,37.7749,-122.4194
339,1,39.7796,-75.0505
340,9,32.9234,-97.081
341,2,38,-97
342,1,30.2672,-97.7431
343,1,39.2904,-76.6122
344,1,38,-97
345,1,32.7254,-97.3208
346,1,40.7573,-82.579
347,1,-27,133
348,1,32.0678,34.7647
349,1,42.0695,-76.1547
350,1,32.7673,-96.6247
351,3,38,-97
352,1,26.2511,-81.8099
353,1,32.3242,-96.5873
354,1,32.7714,-97.2915
355,1,59.8944,30.2642
356,1,53.5,-2.2167
357,1,50.45,4.15
358,1,-22,17
359,2,52.5,5.75
360,1,38,-97
361,1,51.1833,7.2
362,1,30.797,-98.2445
363,3,-12.5,18.5
364,1,40.1804,-74.893
365,1,39.9643,-75.1444
366,1,38,-97
367,1,49,32
368,1,34.0522,-118.2437
369,1,46,2
370,1,23.7231,90.4086
371,1,35.222,-101.8313
372,1,47.7205,-122.2067
373,1,39.9017,-74.1822
374,3,29.7633,-95.3633
375,1,28.6,77.2
376,1,32.6949,-93.7418
377,1,32.8592,-97.0819
378,1,36.3048,-86.62
379,1,32.9193,-96.982
380,1,32.7831,-96.8067
381,1,42.6333,23.5833
382,1,44.035,-103.3782
383,1,55.7522,37.6156
384,1,30.4,-97.7528
385,1,30.1595,-85.6598
386,1,22.2833,114.15
387,1,49.9808,36.2527
388,1,29.7081,-98.4786
389,1,48.3667,13.3167
390,2,43.6,-79.65
391,1,47.0379,-122.9007
392,1,38,-97
393,1,44.5878,-83.3164
394,1,32.6655,-97.6125
395,1,38.0329,-78.5137
396,1,47.6667,9.3167
397,1,37.4509,-107.8488
398,1,40.869,-73.9023
399,1,32.9126,-96.6389
400,1,38,-97
401,1,41,64
402,1,44,-79.4667
403,1,44.3906,-88.031
404,1,33.1161,-97.0118
405,1,36.7281,-91.8524
406,1,43.0389,-87.9065
407,1,55.0415,82.9346
408,1,46.6013,5.3105
409,1,34,9
410,1,44.8925,-93.111
