latitude,longitude,count
33.427,-117.612,1
33.6199,-117.6119,1
34.1064,-117.5931,1
34.0273,-117.5878,1
34.0995,-117.5808,2
34.1476,-117.4581,1
47.7877,-117.4555,1
33.8999,-117.4405,2
47.6597,-117.4291,5
47.6287,-117.4011,2
33.9534,-117.3962,3
33.1959,-117.3795,3
34.2249,-117.3761,1
34.4954,-117.3686,1
33.9298,-117.3647,1
33.5426,-117.3391,1
34.1219,-117.3251,1
34.3661,-117.3205,1
33.968,-117.3194,1
47.6537,-117.3143,1
33.1357,-117.3019,2
34.4264,-117.3009,1
33.3989,-117.2957,3
33.037,-117.292,2
33.2004,-117.2907,1
49.4833,-117.2833,1
33.5989,-117.28,1
34.1019,-117.2762,1
33.0958,-117.2721,2
47.7464,-117.2549,1
33.0501,-117.2528,1
32.8667,-117.2481,2
33.9224,-117.2476,1
46.7322,-117.2455,1
32.7368,-117.2402,1
32.7977,-117.2335,1
32.7082,-117.2318,1
33.9375,-117.2306,1
46.369,-117.2288,1
33.5539,-117.2139,2
32.9014,-117.2079,4
32.8594,-117.2073,2
33.2194,-117.2042,1
47.697,-117.198,1
32.957,-117.1979,2
33.021,-117.1975,1
32.8183,-117.1966,3
32.6859,-117.1831,1
34.0556,-117.1825,1
33.6518,-117.1823,3
34.0614,-117.1734,5
33.1565,-117.1707,1
32.7448,-117.1702,2
32.7191,-117.1607,1
32.7153,-117.1573,16
33.4936,-117.1484,2
32.8897,-117.1336,2
32.8073,-117.1324,4
32.7663,-117.1293,2
32.7368,-117.1277,2
33.0284,-117.1246,2
32.7371,-117.0881,1
33.1192,-117.0864,2
33.707,-117.0845,2
32.6401,-117.0842,4
32.7964,-117.069,2
32.711,-117.0535,1
46.4163,-117.0452,1
32.7313,-117.0391,1
32.8127,-117.0333,1
32.6102,-117.0296,1
32.9775,-117.0232,2
46.4166,-117.0177,2
32.5333,-117.0167,18
32.8561,-116.9968,1
33.1387,-116.9849,1
33.6655,-116.9839,1
33.7475,-116.972,1
32.7952,-116.9671,1
32.7948,-116.9625,1
32.715,-116.9444,1
33.091,-116.9416,1
46.7172,-116.9179,1
43.967,-116.9123,1
32.9017,-116.8933,1
47.848,-116.883,1
33.9256,-116.8764,1
33.0417,-116.8681,1
32.7794,-116.86,1
33.0706,-116.8372,1
33.6425,-116.8356,1
43.5454,-116.8132,1
33.7631,-116.7364,1
43.6604,-116.6383,1
48.2024,-116.5477,1
33.8205,-116.4586,1
48.3432,-116.4536,2
34.1142,-116.4322,1
43.5992,-116.4234,2
43.4918,-116.4201,1
34.1537,-116.4189,2
33.7056,-116.4083,1
33.7222,-116.3745,2
43.632,-116.2838,2
43.4599,-116.244,1
33.7153,-116.2374,1
33.7557,-116.233,1
43.6135,-116.2035,4
43.5952,-116.1954,1
43.7135,-116.1853,1
44.911,-116.0987,1
36.2083,-115.9839,2
34.2438,-115.8598,3
50.15,-115.8333,1
32.6519,-115.4683,1
36.0625,-115.3192,4
36.1787,-115.3152,2
36.1982,-115.3105,2
36.3175,-115.2993,3
36.2349,-115.2905,1
36.1443,-115.2794,3
36.1979,-115.266,2
36.2473,-115.2322,1
36.1445,-115.2257,2
36.2143,-115.2131,2
36.0781,-115.2124,1
36.0316,-115.2118,4
35.9781,-115.2117,1
36.172,-115.2094,1
36.1443,-115.183,1
36.0877,-115.1485,121
36.0097,-115.1479,1
36.175,-115.1372,16
48.8082,-115.1299,1
36.1189,-115.1233,1
35.9887,-115.1134,4
36.1511,-115.1105,1
36.0768,-115.0891,1
36.1201,-115.0877,1
36.0312,-115.0739,1
36.2359,-115.0525,2
53.2167,-114.9833,1
36.0397,-114.9819,1
43.0186,-114.7024,1
43.777,-114.6251,1
35.09,-114.5736,2
42.563,-114.4609,2
54.1167,-114.4,1
34.4849,-114.3286,1
48.1958,-114.3129,1
42.5307,-114.301,1
43.577,-114.214,1
32.7001,-114.1754,1
46.1612,-114.1401,1
51.0833,-114.0833,10
35.1894,-114.053,2
46.7671,-113.9762,1
53.6333,-113.6333,1
37.1041,-113.5841,1
53.55,-113.5,19
53.5167,-113.3167,1
53.95,-113.11,1
37.1385,-112.979,1
49.7,-112.8333,1
33.3703,-112.5838,2
46.0038,-112.5347,4
42.7394,-112.5209,1
46.0092,-112.4421,3
33.6114,-112.4271,1
33.3776,-112.3874,2
33.6096,-112.3773,1
33.6747,-112.3672,1
33.4353,-112.3582,2
33.4356,-112.3496,1
33.6306,-112.3332,2
33.6822,-112.3105,2
33.5975,-112.2718,2
33.5734,-112.257,1
33.7694,-112.2482,3
33.5806,-112.2374,5
33.493,-112.2137,1
33.3054,-112.1997,1
33.5386,-112.186,10
33.6669,-112.1857,2
41.7119,-112.1655,1
33.5586,-112.0955,1
33.7248,-112.0889,1
40.7053,-112.0848,1
33.4484,-112.074,31
33.5083,-112.0717,5
33.3413,-112.0598,2
35.6308,-112.0524,1
33.6238,-112.0511,2
41.1787,-112.0493,1
33.2852,-112.0376,6
46.5927,-112.0361,1
43.4666,-112.0341,2
33.4063,-112.0262,1
41.1108,-112.026,4
40.6974,-111.9961,3
40.7485,-111.986,1
33.4627,-111.9856,1
33.5007,-111.9829,1
41.223,-111.9738,1
41.0602,-111.9711,1
33.5422,-111.9679,1
41.3155,-111.9627,1
40.3245,-111.9618,1
33.6748,-111.9519,7
33.2769,-111.9444,1
