latitude,longitude,count,city,state,zip,country
32.7002,-97.3789,2,Fort Worth,TX,76109,US
32.6526,-97.3758,5,Fort Worth,TX,76133,US
32.5814,-97.3703,8,Crowley,TX,76036,US
32.6254,-97.3658,1,Fort Worth,TX,76123,US
32.7811,-97.3546,1,Fort Worth,TX,76164,US
27.7061,-97.3537,1,Corpus Christi,TX,78412,US
35.1417,-97.3409,1,Noble,OK,73068,US
32.8632,-97.3377,6,Fort Worth,TX,76131,US
32.7065,-97.3375,4,Fort Worth,TX,76110,US
32.9557,-97.3372,4,Haslet,TX,76052,US
32.6796,-97.3336,1,Fort Worth,TX,76115,US
32.6469,-97.3325,1,Fort Worth,TX,76134,US
32.7589,-97.328,1,Fort Worth,TX,76102,US
37.7719,-97.3175,1,Wichita,KS,67219,US
27.8935,-97.3169,1,Portland,TX,78374,US
32.9448,-97.3124,3,Fort Worth,TX,76177,US
32.5316,-97.309,4,Burleson,TX,76028,US
32.7824,-97.3003,2,Fort Worth,TX,76111,US
30.1388,-97.2921,1,Bastrop,TX,78602,US
35.2343,-97.2914,1,Norman,OK,73026,US
35.5753,-97.2891,1,Jones,OK,73049,US
32.8664,-97.2891,25,Fort Worth,TX,76137,US
32.931,-97.2843,27,Keller,TX,76244,US
37.669,-97.2802,2,Wichita,KS,67218,US
32.6192,-97.2735,3,Fort Worth,TX,76140,US
32.747,-97.2604,3,Fort Worth,TX,76103,US
32.8621,-97.2508,6,Fort Worth,TX,76148,US
32.9276,-97.2489,10,Keller,TX,76248,US
37.7379,-97.2479,1,Wichita,KS,67226,US
31.5051,-97.2311,4,Woodway,TX,76712,US
37.7038,-97.2253,2,Wichita,KS,67206,US
32.84,-97.225,12,North Richland Hills,TX,76180,US
32.7493,-97.2181,3,Fort Worth,TX,76112,US
37.671,-97.2179,3,Wichita,KS,67207,US
32.6432,-97.2139,1,Kennedale,TX,76060,US
32.4395,-97.213,1,Alvarado,TX,76009,US
33.0211,-97.2127,13,Roanoke,TX,76262,US
32.8828,-97.2098,10,North Richland Hills,TX,76182,US
32.8013,-97.1952,1,Fort Worth,TX,76118,US
32.6889,-97.1905,1,Arlington,TX,76016,US
33.3563,-97.1814,1,Sanger,TX,76266,US
33.2285,-97.1813,7,Denton,TX,76207,US
