latitude,longitude,count,zip
31.799158,-102.47409,1,79763
31.855051,-102.350647,2,79761
32.053604,-102.20166,3,79707
31.979427,-102.132366,1,79703
31.992384,-102.081464,6,79701
32.051211,-102.059634,2,79705
31.848988,-102.005075,1,79706
33.600102,-101.982772,2,79416
33.468334,-101.94769,2,79424
35.174715,-101.92975,3,79121
33.701386,-101.897836,2,79415
35.203066,-101.895003,1,79106
33.570071,-101.891011,1,79410
35.166416,-101.886423,5,79109
33.547402,-101.885644,1,79413
33.585909,-101.878382,4,79406
33.570034,-101.857733,2,79411
33.439976,-101.855463,3,79423
35.230592,-101.802502,1,79107
48.144826,-101.326016,1,58701
32.887589,-100.841389,2,79549
31.610896,-100.553311,5,76901
31.27837,-100.405795,1,76904
37.723603,-100.057186,1,67801
32.333551,-99.927724,1,79603
32.415823,-99.90623,5,79563
29.362904,-99.898132,1,78801
32.43035,-99.832641,2,79607
32.362783,-99.817314,2,79606
32.434599,-99.781827,10,79605
32.462235,-99.715894,1,79699
32.335677,-99.667488,3,79602
32.576489,-99.665323,1,79601
27.545404,-99.461989,2,78041
32.335802,-99.350571,3,79504
38.876881,-99.349544,1,67601
34.641313,-99.31594,3,73521
40.721039,-99.164684,5,68845
40.76003,-99.017084,1,68847
37.634439,-98.773642,1,67124
29.537782,-98.734752,2,78254
29.859217,-98.706275,5,78006
29.462006,-98.676785,1,78251
29.503453,-98.664636,1,78250
34.795717,-98.629094,2,73507
29.624725,-98.624048,2,78256
29.56527,-98.619211,2,78249
29.391283,-98.618734,3,78236
29.471464,-98.617755,1,78238
31.891101,-98.614553,2,76442
29.52502,-98.606564,3,78240
29.460646,-98.571279,1,78228
29.501708,-98.569451,1,78229
33.894941,-98.54367,1,76309
33.852942,-98.54073,2,76308
29.387986,-98.526019,1,78225
33.943784,-98.523064,3,76306
33.799085,-98.50984,3,76310
33.969523,-98.509016,1,76311
29.634097,-98.497426,2,78258
29.537264,-98.487882,4,78216
34.576274,-98.481242,13,73505
33.905544,-98.479881,1,76301
29.588638,-98.474585,2,78232
29.395776,-98.464401,2,78210
29.488906,-98.456235,4,78209
29.769466,-98.453225,3,78163
29.627214,-98.427068,2,78259
29.538074,-98.415198,6,78217
29.585862,-98.406811,4,78247
34.906219,-98.40022,1,73006
29.49163,-98.397127,2,78218
29.89476,-98.390967,1,78070
29.311912,-98.390911,1,78223
26.228735,-98.376166,1,78572
26.318913,-98.370054,1,78574
29.518637,-98.362961,1,78239
29.556038,-98.360283,2,78233
29.474147,-98.348083,2,78244
34.359644,-98.345276,1,73572
38.600789,-98.340484,1,67459
29.6562,-98.33912,1,78266
35.456816,-98.315115,1,73047
29.487774,-98.291474,2,78109
34.557945,-98.290973,4,73501
40.94804,-98.290699,2,68801
30.800718,-98.283025,1,78611
29.547068,-98.262642,1,78154
31.102377,-98.25934,1,76550
29.889085,-98.244624,1,78133
35.051308,-98.240141,1,73005
26.271965,-98.23657,1,78504
32.216328,-98.217166,1,76402
30.581216,-98.208732,2,78654
32.282235,-98.196717,3,76401
38.372211,-98.195208,1,67554
29.758823,-98.190462,1,78132
33.219585,-98.188154,5,76458
30.034449,-98.142776,1,78676
30.224134,-98.134815,1,78620
32.799602,-98.126806,2,76067
40.643601,-98.094793,1,68944
29.696878,-98.070726,2,78130
32.527015,-98.008849,3,76462
36.427053,-97.969332,4,73703
31.219045,-97.968224,1,76522
29.880162,-97.966164,9,78666
35.509391,-97.959769,1,73036
30.190321,-97.956989,4,78737
35.852627,-97.952374,1,73750
30.37835,-97.951209,2,78734
30.69088,-97.941426,1,78642
29.54277,-97.937078,1,78155
29.241795,-97.922547,1,78160
30.132806,-97.874687,1,78652
34.505317,-97.865916,1,73533
27.444204,-97.865597,1,78363
30.216168,-97.856006,2,78749
30.430749,-97.840085,3,78726
30.078514,-97.838012,1,78610
30.370456,-97.835844,2,78730
31.017077,-97.833092,2,76549
29.999103,-97.828207,1,78640
30.503949,-97.8242,4,78613
30.16711,-97.823998,5,78748
32.421697,-97.811051,1,76048
30.841795,-97.809699,1,76527
30.295424,-97.80835,1,78746
30.418557,-97.802545,3,78750
30.206844,-97.79742,4,78745
32.682733,-97.782298,4,76087
30.348236,-97.768136,3,78731
30.293268,-97.76605,2,78703
30.243032,-97.765081,4,78704
30.402654,-97.761064,15,78759
31.143642,-97.761047,1,76544
31.417256,-97.755604,1,76528
30.458396,-97.755344,5,78729
30.647924,-97.753177,4,78628
30.492379,-97.748312,8,78717
31.009641,-97.746417,4,76542
30.32223,-97.740167,2,78756
26.48774,-97.738953,1,78580
30.294333,-97.738517,10,78705
32.970044,-97.733748,1,76082
30.351538,-97.732571,1,78757
31.112884,-97.729602,1,76541
30.534355,-97.725618,9,78681
30.310783,-97.722757,5,78751
30.429937,-97.717796,10,78727
30.289963,-97.714696,3,78722
30.263378,-97.714483,1,78702
30.230475,-97.714082,12,78741
30.38798,-97.706853,7,78758
32.459828,-97.706694,1,76049
30.331818,-97.704294,1,78752
30.452674,-97.689368,7,78728
30.304265,-97.685722,6,78723
29.871471,-97.676772,1,78644
30.382481,-97.673467,2,78753
33.372433,-97.669953,3,76225
26.255523,-97.667502,3,78550
35.458482,-97.662381,1,73128
38.831846,-97.654491,1,67401
35.477422,-97.653194,1,73127
30.501747,-97.647206,16,78664
35.616598,-97.645321,4,73142
30.355657,-97.644682,2,78754
31.050856,-97.644625,1,76548
35.582011,-97.640928,2,73162
35.428391,-97.640843,1,73179
35.552908,-97.635848,1,73132
32.695708,-97.631482,2,76008
26.106086,-97.629292,1,78586
35.520484,-97.61344,1,73122
30.438534,-97.59458,10,78660
35.387855,-97.578835,1,73159
35.481606,-97.575612,3,73107
35.51817,-97.575423,2,73112
35.581316,-97.573674,3,73120
35.614168,-97.568447,2,73134
35.546701,-97.564592,2,73116
32.900196,-97.561179,5,76020
35.325769,-97.552609,1,73170
32.425936,-97.539874,3,76044
35.481967,-97.536812,1,73106
35.386417,-97.525661,2,73139
32.787009,-97.523856,3,76108
30.339696,-97.523512,1,78653
33.276319,-97.514178,2,76234
32.276663,-97.508356,1,76033
35.212702,-97.504181,14,73072
32.63587,-97.503481,1,76126
31.051688,-97.499909,3,76513
35.668905,-97.49738,13,73003
30.094098,-97.495104,1,78612
35.618788,-97.484375,6,73013
32.847326,-97.482178,2,76135
27.65787,-97.479816,2,78415
35.332438,-97.475217,6,73160
33.093365,-97.462793,5,76078
35.249662,-97.462408,7,73069
32.720723,-97.447033,8,76116
33.00085,-97.444409,3,76071
35.442343,-97.441523,3,73115
37.702404,-97.438899,8,67212
34.107709,-97.434852,1,73463
35.703414,-97.434052,2,73034
32.913522,-97.433835,13,76179
35.400268,-97.433076,2,73135
37.651239,-97.428543,1,67209
